txn_id,customer_id,txn_date,amount,category,channel,is_returned,payment_method,net_amount,txn_year_month
TXN_0000027,CUST_01629,2022-04-11,1327.57,Grocery,Web,0,Credit Card,1327.57,2022-04
TXN_0000028,CUST_04985,2024-03-03,1431.34,Books,Web,1,Net Banking,0.0,2024-03
TXN_0000029,CUST_03373,2022-06-01,569.19,Home,Mobile App,0,UPI,569.19,2022-06
TXN_0000030,CUST_02997,2023-05-08,1161.19,Beauty,Mobile App,0,Net Banking,1161.19,2023-05
TXN_0000031,CUST_00017,2024-03-17,2478.51,Home,Web,0,UPI,2478.51,2024-03
TXN_0000032,CUST_04911,2024-04-07,4610.49,Home,Mobile App,0,UPI,4610.49,2024-04
TXN_0000033,CUST_01598,2024-01-08,151.51,Beauty,Web,0,UPI,151.51,2024-01
TXN_0000034,CUST_01067,2023-06-22,7305.42,Home,Web,0,UPI,7305.42,2023-06
TXN_0000035,CUST_03140,2024-02-06,695.26,Travel,Web,0,Net Banking,695.26,2024-02
TXN_0000036,CUST_03452,2024-03-20,558.6,Travel,In-Store,0,COD,558.6,2024-03
TXN_0000037,CUST_02260,2024-03-17,1268.43,Apparel,Web,0,Net Banking,1268.43,2024-03
TXN_0000038,CUST_02251,2023-08-04,2534.52,Home,Mobile App,0,Credit Card,2534.52,2023-08
TXN_0000039,CUST_02774,2024-04-17,2105.18,Home,Mobile App,0,Net Banking,2105.18,2024-04
TXN_0000040,CUST_04205,2024-05-13,726.99,Beauty,In-Store,0,Debit Card,726.99,2024-05
TXN_0000041,CUST_00284,2022-10-24,7947.99,Electronics,Mobile App,0,Debit Card,7947.99,2022-10
TXN_0000042,CUST_02989,2023-11-03,2277.66,Electronics,Mobile App,0,Credit Card,2277.66,2023-11
TXN_0000043,CUST_04833,2023-06-04,4310.08,Home,Mobile App,0,Debit Card,4310.08,2023-06
TXN_0000044,CUST_00603,2022-01-18,6160.07,Books,Web,1,Credit Card,0.0,2022-01
TXN_0000045,CUST_01364,2023-11-29,1277.97,Books,Web,0,Net Banking,1277.97,2023-11
TXN_0000046,CUST_03353,2024-06-04,657.58,Apparel,Web,0,Net Banking,657.58,2024-06
TXN_0000047,CUST_04076,2023-10-03,2554.38,Beauty,Partner,0,Debit Card,2554.38,2023-10
TXN_0000048,CUST_04587,2023-10-26,1025.78,Beauty,Web,0,Net Banking,1025.78,2023-10
TXN_0000049,CUST_00801,2022-06-24,1213.12,Home,Web,0,Credit Card,1213.12,2022-06
TXN_0000050,CUST_00760,2024-04-28,369.84,Home,In-Store,0,Credit Card,369.84,2024-04
TXN_0000051,CUST_01494,2023-07-29,4287.08,Apparel,Mobile App,0,UPI,4287.08,2023-07
TXN_0000052,CUST_04801,2023-02-08,3786.76,Travel,In-Store,0,UPI,3786.76,2023-02
TXN_0000053,CUST_03935,2022-01-26,2537.92,Home,Mobile App,0,COD,2537.92,2022-01
TXN_0000054,CUST_00815,2022-04-24,1197.81,Apparel,Mobile App,0,Debit Card,1197.81,2022-04
TXN_0000055,CUST_04899,2022-08-10,8738.06,Books,In-Store,0,COD,8738.06,2022-08
TXN_0000056,CUST_00373,2022-04-11,1111.83,Grocery,Web,0,UPI,1111.83,2022-04
TXN_0000057,CUST_02999,2022-12-13,2411.44,Travel,Web,0,Credit Card,2411.44,2022-12
TXN_0000058,CUST_02892,2023-02-27,402.49,Sports,Web,0,UPI,402.49,2023-02
TXN_0000059,CUST_03792,2022-01-23,379.09,Grocery,Web,0,Net Banking,379.09,2022-01
TXN_0000060,CUST_03320,2022-12-12,7777.26,Grocery,Mobile App,0,Debit Card,7777.26,2022-12
TXN_0000061,CUST_02190,2022-01-05,3248.67,Sports,Web,0,Net Banking,3248.67,2022-01
TXN_0000062,CUST_02450,2022-01-14,65.91,Electronics,Web,0,Credit Card,65.91,2022-01
TXN_0000063,CUST_03968,2022-04-09,2544.06,Electronics,Web,0,Credit Card,2544.06,2022-04
TXN_0000064,CUST_00823,2022-09-13,121.19,Beauty,In-Store,0,Credit Card,121.19,2022-09
TXN_0000065,CUST_00222,2023-09-21,3409.93,Home,Mobile App,0,COD,3409.93,2023-09
TXN_0000066,CUST_03938,2024-01-06,141.26,Beauty,Mobile App,0,UPI,141.26,2024-01
TXN_0000067,CUST_01388,2023-03-05,1147.15,Grocery,Mobile App,0,Credit Card,1147.15,2023-03
TXN_0000068,CUST_03889,2023-03-28,1184.35,Sports,In-Store,0,COD,1184.35,2023-03
TXN_0000069,CUST_02161,2023-06-18,2240.13,Grocery,Mobile App,0,Debit Card,2240.13,2023-06
TXN_0000070,CUST_03271,2022-04-23,596.98,Apparel,In-Store,0,Credit Card,596.98,2022-04
TXN_0000071,CUST_01926,2023-06-29,2951.24,Home,In-Store,0,Debit Card,2951.24,2023-06
TXN_0000072,CUST_04694,2024-02-20,1918.44,Sports,Mobile App,1,Debit Card,0.0,2024-02
TXN_0000073,CUST_02952,2022-11-24,1020.52,Grocery,Web,0,Credit Card,1020.52,2022-11
TXN_0000074,CUST_04581,2023-09-06,3711.62,Electronics,Mobile App,0,Net Banking,3711.62,2023-09
TXN_0000075,CUST_03994,2023-03-06,2311.26,Apparel,Mobile App,0,Debit Card,2311.26,2023-03
TXN_0000076,CUST_02599,2022-07-20,5705.9,Sports,Mobile App,0,Net Banking,5705.9,2022-07
TXN_0000077,CUST_01667,2022-04-18,1833.52,Electronics,Mobile App,0,Debit Card,1833.52,2022-04
TXN_0000078,CUST_03082,2023-02-16,952.1,Apparel,Web,0,COD,952.1,2023-02
TXN_0000079,CUST_03886,2022-05-09,13.81,Beauty,Web,0,Credit Card,13.81,2022-05
TXN_0000080,CUST_04758,2022-05-23,2114.37,Beauty,Web,0,Net Banking,2114.37,2022-05
TXN_0000081,CUST_02115,2023-02-05,5820.52,Apparel,Mobile App,0,Credit Card,5820.52,2023-02
TXN_0000082,CUST_02753,2023-04-05,348.97,Apparel,In-Store,0,UPI,348.97,2023-04
TXN_0000083,CUST_03169,2022-11-07,9473.01,Electronics,Web,0,UPI,9473.01,2022-11
TXN_0000084,CUST_01555,2022-04-29,2575.94,Travel,Web,0,Debit Card,2575.94,2022-04
TXN_0000085,CUST_01081,2022-08-09,704.99,Beauty,Mobile App,0,Net Banking,704.99,2022-08
TXN_0000086,CUST_03935,2024-04-03,7310.54,Electronics,Mobile App,0,UPI,7310.54,2024-04
TXN_0000087,CUST_00088,2022-01-14,11459.35,Electronics,Web,1,COD,0.0,2022-01
TXN_0000088,CUST_02701,2023-08-12,76.94,Travel,Mobile App,0,UPI,76.94,2023-08
TXN_0000089,CUST_02704,2022-04-27,7706.69,Grocery,In-Store,0,Debit Card,7706.69,2022-04
TXN_0000090,CUST_02960,2022-02-25,763.35,Grocery,Web,0,UPI,763.35,2022-02
TXN_0000091,CUST_02419,2024-01-16,3327.68,Travel,In-Store,0,Net Banking,3327.68,2024-01
TXN_0000092,CUST_02423,2022-05-05,824.72,Home,In-Store,0,Credit Card,824.72,2022-05
TXN_0000093,CUST_04148,2024-06-03,1517.45,Books,Web,0,Debit Card,1517.45,2024-06
TXN_0000094,CUST_01748,2022-01-25,785.75,Beauty,Mobile App,0,COD,785.75,2022-01
TXN_0000095,CUST_00041,2023-08-26,3186.62,Beauty,Web,0,COD,3186.62,2023-08
TXN_0000096,CUST_02139,2023-02-12,4067.61,Books,Web,0,UPI,4067.61,2023-02
TXN_0000097,CUST_00039,2022-04-03,3287.14,Home,Web,0,COD,3287.14,2022-04
TXN_0000098,CUST_03085,2022-06-07,7993.78,Home,In-Store,1,UPI,0.0,2022-06
TXN_0000099,CUST_03680,2022-08-07,386.45,Books,In-Store,0,COD,386.45,2022-08
TXN_0000100,CUST_02152,2023-06-03,2156.82,Travel,Mobile App,0,Debit Card,2156.82,2023-06
TXN_0000101,CUST_03938,2022-05-21,7283.34,Electronics,In-Store,0,COD,7283.34,2022-05
TXN_0000102,CUST_02091,2023-10-09,1557.76,Apparel,Mobile App,0,UPI,1557.76,2023-10
TXN_0000103,CUST_00209,2023-09-03,5480.39,Sports,Mobile App,0,Credit Card,5480.39,2023-09
TXN_0000104,CUST_00600,2023-12-11,26.51,Grocery,Web,0,Net Banking,26.51,2023-12
TXN_0000105,CUST_00605,2023-06-18,7257.72,Books,Web,0,COD,7257.72,2023-06
TXN_0000106,CUST_02524,2024-04-06,129.81,Grocery,In-Store,0,UPI,129.81,2024-04
TXN_0000107,CUST_03710,2023-02-02,151.56,Electronics,Web,1,Net Banking,0.0,2023-02
TXN_0000108,CUST_02157,2023-06-17,1118.97,Home,Web,0,Debit Card,1118.97,2023-06
TXN_0000109,CUST_00214,2023-06-14,4532.52,Travel,In-Store,0,Credit Card,4532.52,2023-06
TXN_0000110,CUST_01577,2022-02-17,226.1,Electronics,In-Store,0,Net Banking,226.1,2022-02
TXN_0000111,CUST_02819,2022-04-03,6606.05,Beauty,Mobile App,0,Debit Card,6606.05,2022-04
TXN_0000112,CUST_02125,2022-01-26,630.52,Books,In-Store,1,UPI,0.0,2022-01
TXN_0000113,CUST_00269,2022-02-08,126.65,Books,Mobile App,0,Debit Card,126.65,2022-02
TXN_0000114,CUST_02409,2022-06-14,2073.4,Home,Mobile App,0,Credit Card,2073.4,2022-06
TXN_0000115,CUST_02578,2023-12-03,4419.29,Beauty,Mobile App,0,COD,4419.29,2023-12
TXN_0000116,CUST_04779,2023-03-24,8969.29,Travel,Mobile App,0,Credit Card,8969.29,2023-03
TXN_0000117,CUST_04258,2024-05-31,676.2,Travel,Mobile App,0,UPI,676.2,2024-05
TXN_0000118,CUST_04561,2023-05-08,4719.91,Electronics,Mobile App,1,Debit Card,0.0,2023-05
TXN_0000119,CUST_00823,2023-03-22,382.28,Grocery,Partner,0,COD,382.28,2023-03
TXN_0000120,CUST_03636,2023-04-29,3453.6,Books,Web,0,Debit Card,3453.6,2023-04
TXN_0000121,CUST_02596,2023-10-30,82.83,Grocery,Mobile App,0,COD,82.83,2023-10
TXN_0000122,CUST_03954,2023-02-05,1227.86,Travel,Web,0,Credit Card,1227.86,2023-02
TXN_0000123,CUST_03832,2024-02-19,4170.85,Home,Mobile App,0,UPI,4170.85,2024-02
TXN_0000124,CUST_02100,2023-06-24,344.48,Sports,Partner,0,COD,344.48,2023-06
TXN_0000125,CUST_04584,2022-08-04,2296.63,Home,Partner,0,Net Banking,2296.63,2022-08
TXN_0000126,CUST_03603,2022-01-31,4424.06,Home,Web,0,UPI,4424.06,2022-01
TXN_0000127,CUST_03468,2023-05-12,580.37,Electronics,Web,0,Debit Card,580.37,2023-05
TXN_0000128,CUST_00651,2022-09-13,4054.93,Apparel,Web,1,UPI,0.0,2022-09
TXN_0000129,CUST_01635,2022-07-03,914.13,Home,Mobile App,0,Net Banking,914.13,2022-07
TXN_0000130,CUST_04815,2023-02-17,1286.05,Travel,Mobile App,0,Debit Card,1286.05,2023-02
TXN_0000131,CUST_01168,2023-09-23,3477.15,Electronics,Web,0,Net Banking,3477.15,2023-09
TXN_0000132,CUST_04077,2024-03-13,4331.97,Travel,Mobile App,0,Debit Card,4331.97,2024-03
TXN_0000133,CUST_00199,2024-06-11,900.04,Grocery,Mobile App,0,Debit Card,900.04,2024-06
TXN_0000134,CUST_01356,2022-05-21,622.38,Books,Mobile App,0,Credit Card,622.38,2022-05
TXN_0000135,CUST_03506,2023-01-06,1744.89,Electronics,Mobile App,0,Credit Card,1744.89,2023-01
TXN_0000136,CUST_00803,2023-03-05,2145.31,Beauty,Web,0,Net Banking,2145.31,2023-03
TXN_0000137,CUST_00701,2023-08-08,230.94,Electronics,Mobile App,0,COD,230.94,2023-08
TXN_0000138,CUST_00503,2023-02-19,2095.05,Home,Mobile App,0,COD,2095.05,2023-02
TXN_0000139,CUST_04565,2023-04-16,2527.68,Beauty,In-Store,0,Debit Card,2527.68,2023-04
TXN_0000140,CUST_02414,2024-06-09,258.74,Travel,In-Store,0,COD,258.74,2024-06
TXN_0000141,CUST_04720,2023-10-18,4238.69,Home,Web,0,Debit Card,4238.69,2023-10
TXN_0000142,CUST_02968,2022-09-02,1738.3,Books,Web,0,Net Banking,1738.3,2022-09
TXN_0000143,CUST_02871,2023-07-13,2297.09,Grocery,Mobile App,0,UPI,2297.09,2023-07
TXN_0000144,CUST_04759,2022-05-16,1828.72,Apparel,In-Store,0,COD,1828.72,2022-05
TXN_0000145,CUST_04847,2023-11-19,1644.97,Electronics,In-Store,0,UPI,1644.97,2023-11
TXN_0000146,CUST_03468,2023-12-22,887.51,Apparel,Mobile App,0,Net Banking,887.51,2023-12
TXN_0000147,CUST_01419,2022-07-11,1138.56,Grocery,Web,0,Debit Card,1138.56,2022-07
TXN_0000148,CUST_01099,2022-11-02,3109.16,Home,Partner,0,Debit Card,3109.16,2022-11
TXN_0000149,CUST_03170,2022-05-27,2495.96,Beauty,Web,0,Credit Card,2495.96,2022-05
TXN_0000150,CUST_00383,2022-02-12,2332.41,Electronics,Web,1,Net Banking,0.0,2022-02
TXN_0000151,CUST_03941,2022-12-31,4064.98,Travel,Web,0,Net Banking,4064.98,2022-12
TXN_0000152,CUST_01394,2023-08-26,1927.18,Apparel,Mobile App,0,Credit Card,1927.18,2023-08
TXN_0000153,CUST_03328,2022-12-01,896.57,Apparel,In-Store,0,Credit Card,896.57,2022-12
TXN_0000154,CUST_01653,2023-08-23,2253.59,Beauty,Mobile App,0,COD,2253.59,2023-08
TXN_0000155,CUST_04272,2023-12-10,3769.45,Beauty,Mobile App,0,Debit Card,3769.45,2023-12
TXN_0000156,CUST_04324,2022-06-30,5345.49,Home,Mobile App,0,UPI,5345.49,2022-06
TXN_0000157,CUST_02395,2022-06-24,1700.39,Sports,Web,0,Credit Card,1700.39,2022-06
TXN_0000158,CUST_02039,2024-03-16,1105.84,Travel,Mobile App,1,COD,0.0,2024-03
TXN_0000159,CUST_01986,2022-02-26,4733.93,Grocery,Mobile App,0,Debit Card,4733.93,2022-02
TXN_0000160,CUST_01263,2022-09-22,1371.55,Books,Mobile App,0,COD,1371.55,2022-09
TXN_0000161,CUST_01712,2024-05-06,8354.15,Travel,Mobile App,0,Net Banking,8354.15,2024-05
TXN_0000162,CUST_00350,2023-10-17,1413.84,Books,Mobile App,0,Net Banking,1413.84,2023-10
TXN_0000163,CUST_04027,2024-01-18,10747.51,Beauty,Mobile App,0,Debit Card,10747.51,2024-01
TXN_0000164,CUST_00441,2023-06-23,258.57,Electronics,Web,0,UPI,258.57,2023-06
TXN_0000165,CUST_02809,2023-03-19,1057.72,Electronics,Partner,0,Debit Card,1057.72,2023-03
TXN_0000166,CUST_02563,2022-06-22,813.24,Home,In-Store,0,UPI,813.24,2022-06
TXN_0000167,CUST_03153,2022-01-06,12703.17,Electronics,Mobile App,0,Credit Card,12703.17,2022-01
TXN_0000168,CUST_01385,2023-07-05,4891.52,Travel,In-Store,0,Debit Card,4891.52,2023-07
TXN_0000169,CUST_00288,2022-01-16,3350.62,Beauty,Web,0,Debit Card,3350.62,2022-01
TXN_0000170,CUST_02056,2024-02-07,6243.01,Apparel,Mobile App,0,Net Banking,6243.01,2024-02
TXN_0000171,CUST_00998,2024-03-29,6181.87,Apparel,Mobile App,0,Credit Card,6181.87,2024-03
TXN_0000172,CUST_02334,2024-03-07,553.45,Beauty,In-Store,0,UPI,553.45,2024-03
TXN_0000173,CUST_01423,2022-08-13,1043.54,Books,In-Store,0,Credit Card,1043.54,2022-08
TXN_0000174,CUST_00074,2022-03-23,123.55,Sports,Web,1,COD,0.0,2022-03
TXN_0000175,CUST_01463,2024-05-17,922.36,Grocery,Mobile App,1,Credit Card,0.0,2024-05
TXN_0000176,CUST_03195,2022-09-14,3127.16,Electronics,Mobile App,0,Debit Card,3127.16,2022-09
TXN_0000177,CUST_02206,2022-05-21,3120.59,Apparel,Web,0,UPI,3120.59,2022-05
TXN_0000178,CUST_00430,2023-06-16,1470.84,Apparel,Web,0,Debit Card,1470.84,2023-06
TXN_0000179,CUST_01472,2022-04-12,462.06,Travel,Mobile App,0,Debit Card,462.06,2022-04
TXN_0000180,CUST_03482,2024-05-15,116.02,Home,In-Store,0,COD,116.02,2024-05
TXN_0000181,CUST_03181,2022-03-23,715.97,Travel,Web,0,COD,715.97,2022-03
TXN_0000182,CUST_04942,2023-09-30,216.52,Home,Web,0,COD,216.52,2023-09
TXN_0000183,CUST_01731,2023-07-03,11606.54,Sports,Web,0,COD,11606.54,2023-07
TXN_0000184,CUST_00036,2023-05-17,396.11,Grocery,Mobile App,0,COD,396.11,2023-05
TXN_0000185,CUST_01021,2023-04-09,4179.69,Home,Web,0,Net Banking,4179.69,2023-04
TXN_0000186,CUST_01998,2023-04-07,1165.63,Home,Mobile App,0,UPI,1165.63,2023-04
TXN_0000187,CUST_02761,2023-01-23,2413.73,Travel,Mobile App,0,Debit Card,2413.73,2023-01
TXN_0000188,CUST_03118,2023-10-16,1928.16,Electronics,Web,0,UPI,1928.16,2023-10
TXN_0000189,CUST_02536,2022-03-06,144.61,Sports,Web,0,COD,144.61,2022-03
TXN_0000190,CUST_04715,2022-11-08,5929.1,Travel,Web,0,Credit Card,5929.1,2022-11
TXN_0000191,CUST_04266,2022-07-19,5766.05,Books,Partner,0,COD,5766.05,2022-07
TXN_0000192,CUST_00146,2022-12-13,884.7,Grocery,Web,0,Net Banking,884.7,2022-12
TXN_0000193,CUST_04964,2024-01-07,358.06,Books,Partner,0,UPI,358.06,2024-01
TXN_0000194,CUST_04516,2024-02-01,267.55,Books,In-Store,0,Net Banking,267.55,2024-02
TXN_0000195,CUST_04669,2023-01-13,4655.29,Travel,Mobile App,0,UPI,4655.29,2023-01
TXN_0000196,CUST_01027,2022-12-16,2189.95,Sports,In-Store,0,COD,2189.95,2022-12
TXN_0000197,CUST_03666,2023-02-08,1172.8,Books,Mobile App,0,Debit Card,1172.8,2023-02
TXN_0000198,CUST_01287,2023-01-25,1042.08,Grocery,Mobile App,0,Net Banking,1042.08,2023-01
TXN_0000199,CUST_02847,2024-06-15,1976.27,Travel,Partner,0,COD,1976.27,2024-06
TXN_0000200,CUST_00321,2023-06-05,793.63,Electronics,Mobile App,0,UPI,793.63,2023-06
TXN_0000201,CUST_04096,2022-02-24,49.47,Books,Mobile App,0,COD,49.47,2022-02
TXN_0000202,CUST_02294,2022-02-01,1340.5,Beauty,In-Store,1,Credit Card,0.0,2022-02
TXN_0000203,CUST_01613,2024-05-14,5220.19,Grocery,Web,0,Credit Card,5220.19,2024-05
TXN_0000204,CUST_00477,2024-02-01,4061.63,Sports,In-Store,0,UPI,4061.63,2024-02
TXN_0000205,CUST_03165,2023-06-14,6064.56,Sports,In-Store,0,UPI,6064.56,2023-06
TXN_0000206,CUST_01827,2024-03-15,2729.06,Books,Web,0,Debit Card,2729.06,2024-03
TXN_0000207,CUST_00783,2022-07-10,127.75,Apparel,Web,0,Net Banking,127.75,2022-07
TXN_0000208,CUST_04629,2024-02-26,1571.11,Grocery,Mobile App,0,Debit Card,1571.11,2024-02
TXN_0000209,CUST_01948,2022-12-19,53.69,Apparel,Mobile App,0,Debit Card,53.69,2022-12
TXN_0000210,CUST_03332,2022-05-13,8744.85,Sports,In-Store,0,Credit Card,8744.85,2022-05
TXN_0000211,CUST_04675,2022-11-08,2857.45,Grocery,In-Store,1,UPI,0.0,2022-11
TXN_0000212,CUST_01594,2022-05-20,40.91,Sports,Partner,0,Net Banking,40.91,2022-05
TXN_0000213,CUST_01748,2023-03-25,8206.16,Electronics,Web,0,Debit Card,8206.16,2023-03
TXN_0000214,CUST_02034,2022-07-17,1166.85,Electronics,Mobile App,0,COD,1166.85,2022-07
TXN_0000215,CUST_00257,2022-07-28,403.5,Home,Mobile App,0,Net Banking,403.5,2022-07
TXN_0000216,CUST_02992,2023-01-27,3256.84,Sports,Mobile App,0,COD,3256.84,2023-01
TXN_0000217,CUST_01418,2023-10-07,414.48,Home,Mobile App,0,UPI,414.48,2023-10
TXN_0000218,CUST_04978,2023-04-28,626.59,Grocery,Web,0,Net Banking,626.59,2023-04
TXN_0000219,CUST_04115,2024-03-06,228.84,Beauty,In-Store,0,Debit Card,228.84,2024-03
TXN_0000220,CUST_00110,2023-04-08,3024.97,Books,Web,0,Debit Card,3024.97,2023-04
TXN_0000221,CUST_02553,2024-04-07,596.58,Electronics,Mobile App,0,Debit Card,596.58,2024-04
TXN_0000222,CUST_01058,2022-04-02,4229.05,Books,In-Store,0,COD,4229.05,2022-04
TXN_0000223,CUST_04351,2022-12-10,2419.45,Electronics,Mobile App,1,UPI,0.0,2022-12
TXN_0000224,CUST_04734,2022-03-31,1233.56,Electronics,Mobile App,0,COD,1233.56,2022-03
TXN_0000225,CUST_02043,2022-03-13,8943.16,Books,Mobile App,0,COD,8943.16,2022-03
TXN_0000226,CUST_02182,2022-12-21,549.6,Home,In-Store,0,UPI,549.6,2022-12
TXN_0000227,CUST_04493,2022-03-21,3584.89,Apparel,In-Store,1,UPI,0.0,2022-03
TXN_0000228,CUST_03559,2023-08-06,415.68,Sports,Web,0,COD,415.68,2023-08
TXN_0000229,CUST_01622,2023-06-13,630.68,Travel,Web,0,Credit Card,630.68,2023-06
TXN_0000230,CUST_03659,2023-07-17,343.16,Apparel,Mobile App,0,UPI,343.16,2023-07
TXN_0000231,CUST_02695,2023-03-15,6859.18,Apparel,Mobile App,0,Debit Card,6859.18,2023-03
TXN_0000232,CUST_03885,2022-04-09,1609.18,Books,Web,0,Debit Card,1609.18,2022-04
TXN_0000233,CUST_04781,2022-11-16,4543.69,Beauty,Web,0,Debit Card,4543.69,2022-11
TXN_0000234,CUST_03285,2023-11-30,144.62,Beauty,Mobile App,0,Credit Card,144.62,2023-11
TXN_0000235,CUST_02167,2023-08-06,2193.01,Books,Partner,0,Net Banking,2193.01,2023-08
TXN_0000236,CUST_03887,2023-07-17,1497.13,Apparel,Mobile App,0,COD,1497.13,2023-07
TXN_0000237,CUST_04398,2024-04-14,10927.4,Books,Web,0,Credit Card,10927.4,2024-04
TXN_0000238,CUST_04323,2022-01-18,3938.2,Beauty,Web,1,COD,0.0,2022-01
TXN_0000239,CUST_04452,2023-09-21,6566.9,Sports,Web,0,Debit Card,6566.9,2023-09
TXN_0000240,CUST_04797,2023-10-29,1608.07,Home,Mobile App,1,COD,0.0,2023-10
TXN_0000241,CUST_03393,2022-07-28,4162.23,Sports,Web,0,Net Banking,4162.23,2022-07
TXN_0000242,CUST_02271,2022-06-09,582.7,Apparel,Mobile App,0,Credit Card,582.7,2022-06
TXN_0000243,CUST_03712,2022-03-16,3024.22,Travel,Web,0,COD,3024.22,2022-03
TXN_0000244,CUST_01587,2023-12-17,8796.45,Electronics,Web,0,COD,8796.45,2023-12
TXN_0000245,CUST_01215,2023-11-17,2358.11,Travel,Mobile App,0,Net Banking,2358.11,2023-11
TXN_0000246,CUST_01646,2023-11-07,55.95,Apparel,Mobile App,1,COD,0.0,2023-11
TXN_0000247,CUST_01351,2022-03-17,1058.45,Sports,Mobile App,1,COD,0.0,2022-03
TXN_0000248,CUST_03199,2023-10-14,2266.98,Sports,Mobile App,0,Debit Card,2266.98,2023-10
TXN_0000249,CUST_00365,2022-11-11,308.12,Beauty,In-Store,0,UPI,308.12,2022-11
TXN_0000250,CUST_03940,2022-07-31,1284.5,Grocery,In-Store,0,COD,1284.5,2022-07
TXN_0000251,CUST_04615,2023-11-13,1498.85,Electronics,Web,0,Net Banking,1498.85,2023-11
TXN_0000252,CUST_03200,2022-11-19,5290.01,Electronics,Mobile App,0,Credit Card,5290.01,2022-11
TXN_0000253,CUST_01627,2022-10-14,2112.48,Home,Web,0,COD,2112.48,2022-10
TXN_0000254,CUST_03202,2022-09-18,1983.04,Electronics,Mobile App,0,Credit Card,1983.04,2022-09
TXN_0000255,CUST_01646,2023-08-19,1744.89,Home,Web,0,Net Banking,1744.89,2023-08
TXN_0000256,CUST_00982,2024-01-14,1211.2,Beauty,Mobile App,0,Net Banking,1211.2,2024-01
TXN_0000257,CUST_02396,2022-12-29,2071.65,Travel,Mobile App,0,Debit Card,2071.65,2022-12
TXN_0000258,CUST_02037,2023-11-18,446.34,Books,Web,0,UPI,446.34,2023-11
TXN_0000259,CUST_03553,2022-09-05,1580.65,Home,Mobile App,0,Net Banking,1580.65,2022-09
TXN_0000260,CUST_00922,2023-11-13,1770.09,Sports,Web,0,Debit Card,1770.09,2023-11
TXN_0000261,CUST_03747,2024-02-08,2901.78,Electronics,Web,0,Credit Card,2901.78,2024-02
TXN_0000262,CUST_03659,2022-07-03,2258.68,Travel,Mobile App,1,Net Banking,0.0,2022-07
TXN_0000263,CUST_03783,2022-05-19,990.31,Grocery,Mobile App,0,Net Banking,990.31,2022-05
TXN_0000264,CUST_03996,2024-01-19,1891.29,Home,Web,0,Credit Card,1891.29,2024-01
TXN_0000265,CUST_04457,2022-06-18,49.33,Books,Mobile App,0,Credit Card,49.33,2022-06
TXN_0000266,CUST_04278,2024-03-14,2906.31,Travel,Mobile App,0,Credit Card,2906.31,2024-03
