ticket_id,customer_id,created_date,category,priority,resolution_days,csat_score
TKT_000050,CUST_01910,2022-06-09,Product Quality,Low,2,1
TKT_000051,CUST_02230,2023-07-26,Product Quality,Low,1,5
TKT_000052,CUST_02298,2024-01-13,Delivery,Low,2,4
TKT_000053,CUST_01361,2023-03-06,Product Quality,Medium,2,4
TKT_000054,CUST_03586,2022-07-31,App Issue,Medium,5,5
TKT_000055,CUST_01662,2023-07-17,Product Quality,High,5,
TKT_000056,CUST_02352,2023-05-26,Delivery,Medium,2,2
TKT_000057,CUST_04665,2023-07-18,Other,Low,3,3
TKT_000058,CUST_03163,2023-04-08,App Issue,Medium,3,5
TKT_000059,CUST_00130,2023-07-01,Return,Medium,1,3
TKT_000060,CUST_03295,2023-09-20,Delivery,Medium,5,5
TKT_000061,CUST_01544,2023-03-01,Other,Medium,2,4
TKT_000062,CUST_03781,2023-10-06,Delivery,Medium,7,5
TKT_000063,CUST_01846,2022-06-29,Return,Medium,7,5
TKT_000064,CUST_03881,2023-10-26,Return,Medium,2,2
TKT_000065,CUST_04687,2023-08-22,App Issue,Low,5,4
TKT_000066,CUST_02003,2022-12-18,Account,Medium,3,5
TKT_000067,CUST_02817,2022-02-28,Delivery,High,3,5
TKT_000068,CUST_03426,2022-11-20,Account,Medium,1,4
TKT_000069,CUST_03968,2022-08-21,Product Quality,High,10,
TKT_000070,CUST_04020,2022-02-18,Return,High,7,3
TKT_000071,CUST_00675,2022-03-09,Product Quality,High,2,2
TKT_000072,CUST_04355,2023-04-19,App Issue,Low,2,4
TKT_000073,CUST_03717,2024-06-15,Product Quality,Medium,5,2
TKT_000074,CUST_03973,2023-06-24,Account,Medium,3,5
TKT_000075,CUST_04747,2022-10-30,Delivery,Low,2,3
TKT_000076,CUST_04353,2023-08-28,Return,Low,3,5
TKT_000077,CUST_00312,2023-06-01,Product Quality,Low,2,3
TKT_000078,CUST_01031,2023-05-18,Other,Low,5,4
TKT_000079,CUST_02593,2022-07-26,Product Quality,Low,5,5
TKT_000080,CUST_04893,2022-02-25,App Issue,High,5,4
TKT_000081,CUST_02345,2022-05-01,Delivery,High,3,4
TKT_000082,CUST_00061,2023-12-02,Return,Low,3,2
TKT_000083,CUST_03799,2022-08-12,Account,Low,,3
TKT_000084,CUST_04938,2024-02-06,App Issue,Medium,,3
TKT_000085,CUST_02811,2022-01-16,Product Quality,Medium,7,5
TKT_000086,CUST_00223,2024-06-01,Delivery,Medium,3,2
TKT_000087,CUST_03157,2024-02-14,Return,High,10,4
TKT_000088,CUST_01324,2022-05-10,Delivery,Medium,3,5
TKT_000089,CUST_03543,2022-02-15,Account,Medium,2,3
TKT_000090,CUST_03303,2022-04-07,Payment,High,,3
TKT_000091,CUST_00612,2023-01-29,Other,Medium,3,5
TKT_000092,CUST_04902,2022-01-30,Product Quality,Low,1,4
TKT_000093,CUST_02375,2022-07-09,Product Quality,High,2,4
TKT_000094,CUST_00595,2023-07-13,Payment,Medium,2,4
TKT_000095,CUST_00328,2022-02-17,Delivery,Low,3,4
TKT_000096,CUST_04635,2022-01-05,Payment,High,2,3
TKT_000097,CUST_03794,2024-04-20,Account,High,3,1
TKT_000098,CUST_04637,2023-01-09,Payment,Low,3,4
TKT_000099,CUST_01560,2023-06-27,App Issue,Low,1,4
TKT_000100,CUST_00526,2024-02-13,Other,High,2,2
TKT_000101,CUST_04194,2024-05-02,Payment,Medium,2,4
TKT_000102,CUST_03237,2023-12-26,Product Quality,High,2,4
TKT_000103,CUST_02310,2023-07-25,Payment,High,3,1
TKT_000104,CUST_00319,2023-10-31,App Issue,Medium,5,1
TKT_000105,CUST_00843,2023-11-22,Payment,Medium,5,5
TKT_000106,CUST_01720,2023-10-31,Delivery,Medium,7,4
TKT_000107,CUST_04622,2022-01-20,Delivery,Medium,3,5
TKT_000108,CUST_01234,2024-03-20,Payment,Medium,,3
TKT_000109,CUST_00582,2023-06-07,Delivery,High,3,3
TKT_000110,CUST_01751,2023-05-18,Product Quality,Low,2,2
TKT_000111,CUST_02596,2024-05-31,App Issue,High,1,4
TKT_000112,CUST_01141,2024-06-09,App Issue,Low,2,4
TKT_000113,CUST_02746,2024-05-08,Delivery,Medium,3,3
TKT_000114,CUST_00719,2023-07-03,Payment,Medium,2,5
TKT_000115,CUST_01920,2023-03-03,Account,Low,3,5
TKT_000116,CUST_02081,2022-10-15,Return,High,,4
TKT_000117,CUST_03252,2023-05-15,Other,Medium,5,4
TKT_000118,CUST_01029,2022-08-31,Other,Medium,3,5
TKT_000119,CUST_04954,2024-03-06,Payment,Low,5,5
TKT_000120,CUST_00407,2023-08-23,Delivery,Medium,5,2
TKT_000121,CUST_00902,2022-01-30,Product Quality,High,,4
TKT_000122,CUST_00992,2022-03-02,Other,Medium,7,3
TKT_000123,CUST_03182,2022-05-04,Account,Medium,2,4
TKT_000124,CUST_02654,2022-11-10,Delivery,Low,1,4
TKT_000125,CUST_00991,2022-07-05,Account,Low,1,3
TKT_000126,CUST_01936,2023-07-08,Delivery,Medium,5,4
TKT_000127,CUST_04097,2023-02-25,Product Quality,Low,5,4
TKT_000128,CUST_01429,2023-08-04,Delivery,Low,1,5
TKT_000129,CUST_04197,2023-03-27,Payment,High,3,
TKT_000130,CUST_02428,2023-05-22,App Issue,Medium,2,5
TKT_000131,CUST_01955,2022-02-04,Return,Medium,7,5
TKT_000132,CUST_02240,2022-09-13,Product Quality,Low,2,4
TKT_000133,CUST_03088,2024-01-12,Return,Low,2,4
TKT_000134,CUST_00103,2023-04-30,Return,Medium,3,4
TKT_000135,CUST_03979,2023-05-05,Payment,Low,7,4
TKT_000136,CUST_02924,2022-10-10,Product Quality,Low,7,5
TKT_000137,CUST_00128,2022-12-16,Other,Low,5,3
TKT_000138,CUST_02513,2024-05-27,Return,High,5,4
TKT_000139,CUST_02295,2022-09-04,Other,Low,1,3
TKT_000140,CUST_01920,2022-03-20,Other,High,2,5
TKT_000141,CUST_03025,2023-12-13,Account,High,5,4
TKT_000142,CUST_01800,2022-09-17,App Issue,Medium,1,5
TKT_000143,CUST_01377,2022-06-05,Account,Medium,,2
TKT_000144,CUST_01239,2024-05-15,Product Quality,Low,1,5
TKT_000145,CUST_00159,2023-07-20,Payment,Medium,3,3
TKT_000146,CUST_04262,2022-02-21,App Issue,Medium,,1
TKT_000147,CUST_00604,2023-07-17,App Issue,Low,5,4
TKT_000148,CUST_01497,2023-11-28,Account,Medium,2,4
TKT_000149,CUST_00238,2022-03-19,Delivery,Medium,5,1
TKT_000150,CUST_03871,2022-06-29,Payment,High,10,5
TKT_000151,CUST_04683,2022-04-17,Delivery,Medium,2,1
TKT_000152,CUST_00154,2023-10-01,Account,Low,5,4
TKT_000153,CUST_00501,2024-01-23,Return,High,,5
TKT_000154,CUST_02204,2024-02-16,Other,High,5,5
TKT_000155,CUST_01781,2022-03-19,Other,High,2,5
TKT_000156,CUST_02399,2024-01-16,Product Quality,Medium,1,4
TKT_000157,CUST_02554,2022-01-01,App Issue,Medium,5,5
TKT_000158,CUST_04894,2023-04-23,App Issue,Low,1,4
TKT_000159,CUST_02544,2023-09-24,Other,High,3,3
TKT_000160,CUST_02181,2023-11-25,Other,Medium,5,5
TKT_000161,CUST_04257,2024-03-15,Product Quality,Medium,2,5
TKT_000162,CUST_02965,2022-12-21,Other,High,2,3
TKT_000163,CUST_03306,2023-02-03,Account,Medium,1,
TKT_000164,CUST_03979,2022-08-11,Return,High,3,1
TKT_000165,CUST_00342,2022-05-29,Account,Medium,1,2
TKT_000166,CUST_01102,2023-04-29,Other,High,7,5
TKT_000167,CUST_03264,2022-02-13,Return,Medium,,5
TKT_000168,CUST_04955,2023-01-03,App Issue,High,3,5
TKT_000169,CUST_02877,2024-04-08,Account,Medium,2,4
TKT_000170,CUST_04981,2023-08-03,Payment,Medium,7,4
TKT_000171,CUST_02823,2024-02-17,Return,High,7,1
TKT_000172,CUST_02743,2023-06-11,Payment,Medium,3,5
TKT_000173,CUST_04475,2022-12-13,Other,Medium,5,4
TKT_000174,CUST_01927,2024-01-19,Other,Medium,1,3
TKT_000175,CUST_03370,2022-08-08,Account,Medium,3,
TKT_000176,CUST_02328,2023-09-19,Account,Medium,7,5
TKT_000177,CUST_01198,2023-02-27,App Issue,High,7,5
TKT_000178,CUST_01314,2023-08-02,Product Quality,Medium,2,5
TKT_000179,CUST_02381,2022-12-04,App Issue,Low,3,3
TKT_000180,CUST_01423,2022-05-28,Product Quality,Low,1,4
TKT_000181,CUST_03248,2023-08-08,Payment,Medium,5,4
TKT_000182,CUST_01294,2023-11-28,Account,Medium,3,4
TKT_000183,CUST_01396,2023-01-01,Product Quality,Low,,5
TKT_000184,CUST_04084,2023-05-22,Payment,Medium,3,5
TKT_000185,CUST_04318,2023-07-15,Account,Medium,2,5
TKT_000186,CUST_03050,2023-10-18,Payment,Low,1,4
TKT_000187,CUST_02876,2023-03-31,Product Quality,Low,3,4
TKT_000188,CUST_00741,2022-10-21,Other,Medium,7,4
TKT_000189,CUST_02189,2023-09-03,Product Quality,Low,2,2
TKT_000190,CUST_04676,2023-04-16,Return,Medium,5,3
TKT_000191,CUST_04825,2022-08-21,Return,Medium,1,4
TKT_000192,CUST_00523,2024-01-21,Return,Medium,1,2
TKT_000193,CUST_00117,2024-04-21,App Issue,Medium,2,4
TKT_000194,CUST_01194,2023-04-14,Account,Low,2,4
TKT_000195,CUST_03984,2022-02-12,Product Quality,Low,2,5
TKT_000196,CUST_00082,2023-11-03,App Issue,Medium,5,5
TKT_000197,CUST_01935,2023-12-13,Account,Medium,1,2
TKT_000198,CUST_02389,2023-03-16,Return,Low,2,3
TKT_000199,CUST_02683,2022-03-12,Return,Medium,3,5
TKT_000200,CUST_03964,2024-03-18,Account,Medium,1,1
TKT_000201,CUST_00275,2022-02-11,Return,Low,1,4
TKT_000202,CUST_00765,2023-04-19,Return,High,5,4
TKT_000203,CUST_04759,2023-05-16,Product Quality,High,2,4
TKT_000204,CUST_04389,2022-08-05,Product Quality,Medium,3,5
TKT_000205,CUST_03735,2023-03-12,Delivery,Low,5,4
TKT_000206,CUST_04112,2023-05-30,App Issue,Medium,7,5
TKT_000207,CUST_04503,2022-01-15,Other,Low,10,3
TKT_000208,CUST_04202,2023-02-26,Other,Low,,4
TKT_000209,CUST_00669,2024-03-21,Account,High,7,5
TKT_000210,CUST_02446,2023-10-21,Product Quality,Medium,3,5
TKT_000211,CUST_01718,2024-04-27,Account,Medium,2,5
TKT_000212,CUST_02034,2022-07-15,Product Quality,Low,5,5
TKT_000213,CUST_03230,2023-05-24,Return,Medium,5,4
TKT_000214,CUST_01722,2022-04-30,App Issue,Low,2,5
TKT_000215,CUST_04387,2024-01-05,Account,Low,10,3
TKT_000216,CUST_04626,2022-07-10,Other,Medium,3,4
TKT_000217,CUST_03065,2023-05-21,App Issue,Low,5,4
TKT_000218,CUST_03549,2024-05-24,Other,Low,3,
TKT_000219,CUST_03369,2023-10-10,Return,High,3,4
TKT_000220,CUST_01353,2022-12-28,Payment,Low,1,4
TKT_000221,CUST_02795,2022-07-23,App Issue,Medium,1,5
TKT_000222,CUST_01079,2022-11-08,Product Quality,Medium,1,5
TKT_000223,CUST_04291,2022-07-09,App Issue,Low,2,5
TKT_000224,CUST_03220,2022-01-01,Return,Medium,3,5
TKT_000225,CUST_03783,2022-07-25,Account,Medium,5,4
TKT_000226,CUST_04912,2022-08-14,Product Quality,Medium,3,3
TKT_000227,CUST_01682,2022-04-11,Payment,Low,3,5
TKT_000228,CUST_03340,2023-05-05,Payment,Medium,5,4
TKT_000229,CUST_00084,2024-03-27,Return,Medium,1,5
TKT_000230,CUST_00375,2023-09-13,Payment,Low,3,1
TKT_000231,CUST_03682,2022-09-03,Account,Low,3,4
TKT_000232,CUST_01026,2023-10-13,Return,Medium,3,4
TKT_000233,CUST_03709,2023-04-25,Payment,Low,3,5
TKT_000234,CUST_02587,2022-06-28,Account,Medium,7,4
TKT_000235,CUST_02867,2023-06-07,Delivery,Medium,3,4
TKT_000236,CUST_01105,2023-10-14,Return,High,3,1
TKT_000237,CUST_04648,2022-08-08,Account,Low,3,2
TKT_000238,CUST_04883,2023-11-13,App Issue,High,1,3
TKT_000239,CUST_00867,2022-11-23,App Issue,Medium,2,
TKT_000240,CUST_01569,2024-02-29,Return,Medium,3,3
TKT_000241,CUST_02626,2023-01-03,Account,High,1,3
TKT_000242,CUST_00619,2024-05-04,Product Quality,Low,3,4
TKT_000243,CUST_04032,2023-12-26,Product Quality,Low,3,5
TKT_000244,CUST_02671,2023-04-28,Return,Medium,1,5
TKT_000245,CUST_04498,2023-11-25,Delivery,High,1,5
TKT_000246,CUST_03786,2023-03-14,Account,Medium,1,4
TKT_000247,CUST_02292,2024-04-16,Return,Low,10,3
TKT_000248,CUST_03729,2023-05-12,Return,Medium,7,1
TKT_000249,CUST_04847,2023-02-02,App Issue,Low,7,3
TKT_000250,CUST_02765,2024-04-20,Return,Medium,1,3
TKT_000251,CUST_01483,2024-05-10,Product Quality,Medium,3,4
TKT_000252,CUST_01040,2023-07-13,Other,Low,2,4
TKT_000253,CUST_04632,2023-06-01,Payment,Medium,2,2
TKT_000254,CUST_04851,2024-04-21,Product Quality,Medium,1,
TKT_000255,CUST_03111,2023-09-11,Delivery,Medium,3,4
TKT_000256,CUST_04035,2024-01-30,Delivery,Low,2,
TKT_000257,CUST_01443,2024-01-27,App Issue,Medium,1,5
TKT_000258,CUST_03233,2022-12-12,Other,Medium,5,3
TKT_000259,CUST_04245,2022-01-02,Return,Medium,3,4
TKT_000260,CUST_03932,2024-06-07,Return,Low,2,4
TKT_000261,CUST_01703,2023-09-28,Payment,Low,5,5
TKT_000262,CUST_00513,2023-05-19,App Issue,High,3,4
TKT_000263,CUST_04012,2023-11-01,App Issue,High,3,3
TKT_000264,CUST_01186,2022-06-18,Product Quality,Medium,2,5
TKT_000265,CUST_02864,2022-06-24,Other,Low,7,3
TKT_000266,CUST_04558,2022-10-15,Product Quality,High,1,4
TKT_000267,CUST_02318,2023-10-09,Account,Medium,1,3
TKT_000268,CUST_01426,2022-05-20,Product Quality,Low,3,1
TKT_000269,CUST_04637,2023-04-12,Payment,Low,2,4
TKT_000270,CUST_03442,2022-11-04,Payment,Medium,2,5
TKT_000271,CUST_04673,2022-02-28,Account,Medium,2,4
TKT_000272,CUST_03408,2022-11-08,Delivery,Low,3,5
TKT_000273,CUST_01891,2022-11-13,Return,High,1,5
TKT_000274,CUST_01612,2023-06-03,Product Quality,High,3,4
TKT_000275,CUST_00159,2022-03-21,App Issue,High,,2
TKT_000276,CUST_03621,2024-05-13,Return,Medium,3,5
TKT_000277,CUST_01440,2023-04-14,Account,Low,1,4
TKT_000278,CUST_02133,2023-06-06,Other,Medium,7,4
TKT_000279,CUST_01505,2024-04-13,Payment,Medium,2,5
TKT_000280,CUST_04143,2023-07-11,App Issue,Medium,1,
TKT_000281,CUST_01619,2023-09-01,Payment,Low,7,
TKT_000282,CUST_02947,2022-05-03,Return,Low,2,4
TKT_000283,CUST_03973,2023-07-25,Account,Medium,5,5
TKT_000284,CUST_02329,2023-06-09,Payment,Medium,10,5
TKT_000285,CUST_01967,2023-03-04,Delivery,Medium,3,4
TKT_000286,CUST_02857,2024-04-16,App Issue,Medium,2,2
TKT_000287,CUST_04123,2024-05-26,Return,Medium,5,5
TKT_000288,CUST_03176,2024-02-29,Return,Low,7,4
TKT_000289,CUST_00890,2024-04-03,Payment,Low,2,3
TKT_000290,CUST_02681,2022-04-20,Product Quality,Medium,7,4
TKT_000291,CUST_04794,2023-03-13,Account,Medium,2,5
TKT_000292,CUST_04445,2023-08-03,Account,Medium,1,4
TKT_000293,CUST_02747,2022-03-01,Return,Medium,7,4
TKT_000294,CUST_03972,2022-04-30,Account,High,10,5
TKT_000295,CUST_02358,2024-06-17,Payment,Medium,1,5
TKT_000296,CUST_04752,2023-06-30,Product Quality,Low,5,
TKT_000297,CUST_02013,2022-10-06,Delivery,High,1,3
TKT_000298,CUST_04793,2024-02-21,Other,Medium,3,4
TKT_000299,CUST_00883,2022-03-25,Other,Low,5,5
TKT_000300,CUST_04704,2022-06-07,Payment,Medium,2,5
TKT_000301,CUST_04378,2023-08-20,Other,Low,1,5
TKT_000302,CUST_03038,2022-12-28,Return,Low,2,3
TKT_000303,CUST_00396,2022-05-25,Payment,Medium,,4
TKT_000304,CUST_03482,2022-02-18,Other,High,1,3
TKT_000305,CUST_03295,2023-10-30,Payment,Medium,,5
TKT_000306,CUST_02979,2022-09-06,App Issue,High,2,2
TKT_000307,CUST_01458,2024-02-10,Delivery,Low,2,4
TKT_000308,CUST_03550,2023-01-11,Payment,High,1,3
TKT_000309,CUST_04703,2023-05-31,Product Quality,Medium,2,4
TKT_000310,CUST_04893,2022-02-18,Return,High,5,4
TKT_000311,CUST_00707,2023-11-25,App Issue,Medium,5,3
TKT_000312,CUST_02876,2022-05-17,Delivery,Medium,2,4
TKT_000313,CUST_01806,2023-12-02,Delivery,Medium,7,4
TKT_000314,CUST_03336,2023-02-05,Account,High,1,2
TKT_000315,CUST_03975,2023-03-30,Payment,Medium,2,5
TKT_000316,CUST_03214,2022-08-26,Other,Low,3,5
TKT_000317,CUST_01447,2023-05-14,Account,Low,2,5
TKT_000318,CUST_00088,2023-11-27,Product Quality,Medium,1,1
TKT_000319,CUST_00522,2024-02-17,Payment,Low,2,3
TKT_000320,CUST_03378,2022-10-21,Other,High,3,4
TKT_000321,CUST_01202,2023-09-12,Other,High,2,3
TKT_000322,CUST_01125,2022-03-21,Account,Medium,3,3
TKT_000323,CUST_02823,2022-10-13,Other,Medium,2,4
TKT_000324,CUST_00593,2022-07-06,App Issue,Low,2,5
TKT_000325,CUST_04682,2022-05-18,Other,Medium,2,4
TKT_000326,CUST_02947,2024-05-12,App Issue,High,3,4
TKT_000327,CUST_03308,2022-03-06,Delivery,Medium,1,3
TKT_000328,CUST_00675,2022-11-13,Other,Medium,2,3
TKT_000329,CUST_04609,2023-01-15,Payment,High,2,3
TKT_000330,CUST_04411,2023-01-22,Return,Medium,7,5
TKT_000331,CUST_04600,2022-11-18,Other,Medium,2,5
TKT_000332,CUST_03073,2023-11-24,Other,Low,2,5
TKT_000333,CUST_04663,2024-01-02,Product Quality,Medium,1,1
TKT_000334,CUST_01722,2024-04-28,Delivery,Medium,10,4
TKT_000335,CUST_04882,2023-05-17,Product Quality,Medium,3,4
TKT_000336,CUST_04923,2022-08-25,Other,Medium,10,5
TKT_000337,CUST_01032,2022-09-04,Account,Medium,1,4
TKT_000338,CUST_02420,2022-03-06,Payment,Medium,2,5
TKT_000339,CUST_02816,2022-04-22,Product Quality,Medium,1,4
TKT_000340,CUST_02331,2022-03-10,Return,Low,5,2
TKT_000341,CUST_00179,2022-10-29,App Issue,Medium,1,4
TKT_000342,CUST_00302,2022-04-27,Delivery,High,3,4
TKT_000343,CUST_01814,2022-01-23,Payment,Low,1,5
TKT_000344,CUST_00125,2023-11-11,Return,Low,2,4
TKT_000345,CUST_04151,2023-11-30,Payment,Medium,2,4
TKT_000346,CUST_01832,2023-06-06,Product Quality,High,3,4
TKT_000347,CUST_00047,2023-03-20,Return,Medium,,5
TKT_000348,CUST_01970,2022-04-09,Product Quality,Medium,3,
TKT_000349,CUST_03681,2022-11-02,Delivery,Medium,1,3
TKT_000350,CUST_02617,2023-05-20,Account,Medium,10,4
TKT_000351,CUST_01341,2022-11-11,App Issue,Medium,7,4
TKT_000352,CUST_02353,2022-12-10,App Issue,High,3,4
TKT_000353,CUST_03402,2022-06-14,Product Quality,High,1,2
TKT_000354,CUST_00111,2022-05-10,App Issue,Low,2,4
TKT_000355,CUST_03897,2023-04-02,Payment,Low,3,4
TKT_000356,CUST_02187,2024-01-07,App Issue,Medium,5,1
TKT_000357,CUST_01437,2022-03-28,Other,Low,5,5
TKT_000358,CUST_03126,2023-07-05,Return,Low,,5
TKT_000359,CUST_00459,2022-02-09,Other,Low,7,4
TKT_000360,CUST_04642,2023-11-21,Delivery,Low,2,3
TKT_000361,CUST_02607,2022-01-30,App Issue,Medium,2,3
TKT_000362,CUST_01972,2023-03-29,Account,High,3,3
TKT_000363,CUST_02523,2022-10-24,Delivery,Low,7,4
TKT_000364,CUST_01535,2022-09-18,Product Quality,High,10,4
TKT_000365,CUST_00188,2023-05-28,Other,Low,,4
TKT_000366,CUST_04855,2023-05-12,Account,Low,5,5
TKT_000367,CUST_04307,2023-06-13,App Issue,Medium,5,4
TKT_000368,CUST_02554,2023-12-28,Delivery,Medium,2,3
TKT_000369,CUST_01935,2022-03-09,Delivery,Low,2,2
TKT_000370,CUST_00880,2022-04-25,Product Quality,Medium,2,5
TKT_000371,CUST_00275,2024-04-27,Payment,Medium,1,5
TKT_000372,CUST_03493,2023-10-28,Delivery,High,2,3
TKT_000373,CUST_00840,2022-01-08,Payment,Medium,,3
TKT_000374,CUST_03839,2024-02-20,Return,Low,5,5
TKT_000375,CUST_04096,2022-04-15,App Issue,Medium,2,4
TKT_000376,CUST_03548,2023-03-31,App Issue,Medium,5,3
TKT_000377,CUST_02283,2023-05-26,Return,Medium,2,4
TKT_000378,CUST_03773,2023-08-27,Payment,Low,5,4
TKT_000379,CUST_04173,2022-11-27,App Issue,Low,1,5
TKT_000380,CUST_04649,2023-10-01,Delivery,Medium,5,2
TKT_000381,CUST_01574,2023-04-10,Other,Low,3,4
TKT_000382,CUST_01739,2024-02-02,Product Quality,Medium,2,2
TKT_000383,CUST_04730,2024-01-16,Other,Low,3,5
TKT_000384,CUST_01007,2023-06-22,Return,High,3,5
TKT_000385,CUST_03563,2023-05-16,Account,Medium,3,4
TKT_000386,CUST_03726,2022-10-11,Payment,Medium,7,5
TKT_000387,CUST_00986,2023-02-05,Other,Low,1,5
TKT_000388,CUST_01054,2022-10-21,App Issue,Medium,2,3
TKT_000389,CUST_02655,2022-03-01,Return,Medium,5,
TKT_000390,CUST_01021,2022-06-08,Product Quality,Low,3,5
TKT_000391,CUST_00321,2024-01-01,Return,High,3,5
TKT_000392,CUST_04279,2022-09-07,Account,Medium,1,5
TKT_000393,CUST_01966,2023-06-26,App Issue,Low,1,5
TKT_000394,CUST_00752,2022-08-06,Other,High,1,1
TKT_000395,CUST_00687,2022-11-30,Return,Medium,10,2
TKT_000396,CUST_04317,2023-02-11,Payment,Medium,3,3
TKT_000397,CUST_01308,2023-12-28,Other,High,,3
TKT_000398,CUST_04217,2022-08-26,Account,Low,5,3
TKT_000399,CUST_00364,2022-09-08,Delivery,Medium,3,4
TKT_000400,CUST_03344,2024-04-01,Product Quality,Low,3,4
TKT_000401,CUST_02299,2022-03-28,Other,Low,1,1
TKT_000402,CUST_03498,2024-03-06,Product Quality,High,2,5
TKT_000403,CUST_04951,2024-02-10,Account,Low,1,4
TKT_000404,CUST_01763,2024-06-01,Return,Medium,3,
TKT_000405,CUST_02774,2022-12-06,Other,High,3,4
TKT_000406,CUST_02864,2024-02-28,Other,High,5,4
TKT_000407,CUST_03841,2022-04-26,Account,Medium,5,5
TKT_000408,CUST_01338,2022-02-14,App Issue,Medium,5,2
TKT_000409,CUST_03656,2024-03-01,Other,Medium,2,4
TKT_000410,CUST_04248,2024-05-27,Delivery,Medium,3,5
TKT_000411,CUST_04913,2022-09-02,Delivery,Low,5,4
TKT_000412,CUST_00706,2023-12-24,Payment,High,3,3
TKT_000413,CUST_04131,2023-11-19,Return,Medium,1,5
TKT_000414,CUST_00205,2022-08-15,Payment,Low,5,
TKT_000415,CUST_02700,2022-02-01,Payment,High,2,4
TKT_000416,CUST_03330,2022-08-19,Delivery,High,1,5
TKT_000417,CUST_00076,2024-05-07,Account,High,5,3
TKT_000418,CUST_00059,2023-07-21,Account,Low,10,2
TKT_000419,CUST_02504,2022-05-31,Other,Medium,1,4
TKT_000420,CUST_02162,2023-07-31,Payment,Medium,2,3
TKT_000421,CUST_02875,2022-12-28,Other,Low,1,3
TKT_000422,CUST_03156,2022-11-07,Payment,Low,5,5
TKT_000423,CUST_03168,2022-10-13,Product Quality,Medium,2,5
TKT_000424,CUST_02360,2024-04-15,App Issue,Medium,,4
TKT_000425,CUST_01501,2024-03-30,Payment,Medium,2,1
TKT_000426,CUST_01899,2023-12-25,Return,Medium,3,5
TKT_000427,CUST_03049,2023-02-28,Account,Medium,1,5
TKT_000428,CUST_03480,2022-12-06,App Issue,Low,5,
TKT_000429,CUST_03444,2023-10-02,Payment,Medium,1,5
TKT_000430,CUST_03645,2024-01-31,Other,Medium,5,4
TKT_000431,CUST_01536,2022-03-20,Delivery,High,1,1
